车次ID,车站名,到达日期,到达时间,出发日期,出发时间,延误分钟,距离,当日最高温,当日最低温,当日降水量,当日降雨量,当日降雪量,降水小时数,最大风速,最大阵风,平均云量,平均相对湿度,天气代码,天气情况
G80,上海虹桥,2026-08-06,14:04,2026-08-06,14:04,0.0,0.0,35.9,29.0,2.0,2.0,0.0,9.0,15.1,40.3,21.0,66.0,53,毛毛雨
G80,南京南,2026-08-06,15:05,2026-08-06,15:10,0.0,295.0,34.9,27.2,0.3,0.3,0.0,2.0,13.4,33.1,8.0,69.0,51,小毛毛雨
G81,徐州东,2026-08-06,16:19,2026-08-06,16:21,,626.0,35.9,26.6,0.0,0.0,0.0,0.0,12.1,29.5,15.0,67.0,1,晴间多云
G81,商丘,2026-08-06,17:05,2026-08-06,17:07,0.0,796.0,35.9,26.8,0.0,0.0,0.0,0.0,12.7,29.5,18.0,68.0,2,多云
G81,开封北,2026-08-06,17:41,2026-08-06,17:43,0.0,934.0,32.9,22.7,3.3,3.3,0.0,5.0,13.7,34.2,50.0,81.0,55,浓毛毛雨
G81,郑州东,2026-08-06,18:04,,,-2.0,986.0,31.9,23.6,7.3,7.3,0.0,13.0,8.4,24.8,33.0,82.0,61,小雨
,,,,,,,,,,,,,,,,,,,
G3726,广州,2026-08-06,08:42,2026-08-06,08:42,0.0,0.0,33.2,26.4,0.1,0.1,0.0,1.0,7.4,17.6,38.0,72.0,51,小毛毛雨
G3726,佛山西,2026-08-06,09:04,2026-08-06,09:16,0.0,26.0,7.4,-2.3,8.5,7.9,0.42,13.0,6.8,29.2,78.0,87.0,73,中雪
G3726,肇庆东,2026-08-06,09:35,2026-08-06,09:37,0.0,69.0,33.4,26.1,0.2,0.2,0.0,2.0,8.2,22.3,32.0,73.0,51,小毛毛雨
G3726,贺州,2026-08-06,10:24,2026-08-06,10:26,0.0,254.0,33.0,24.1,0.2,0.2,0.0,1.0,4.7,15.1,24.0,75.0,51,小毛毛雨
G3726,阳朔,2026-08-06,10:58,2026-08-06,11:04,0.0,372.0,33.0,24.4,1.5,1.5,0.0,8.0,9.8,27.0,51.0,80.0,51,小毛毛雨
G3726,桂林西,2026-08-06,11:24,2026-08-06,11:28,0.0,437.0,36.5,25.0,2.5,2.5,0.0,7.0,14.4,32.0,19.0,68.0,55,浓毛毛雨
G3726,都匀东,2026-08-06,12:43,2026-08-06,12:48,,734.0,29.8,22.7,3.2,3.2,0.0,13.0,9.4,23.8,69.0,86.0,53,毛毛雨
G3726,贵阳东,2026-08-06,13:23,2026-08-06,13:31,0.0,850.0,28.2,19.5,13.9,13.9,0.0,13.0,12.5,26.3,84.0,87.0,63,中雨
G3726,遵义,2026-08-06,14:18,2026-08-06,14:20,-1.0,973.0,27.2,19.9,9.1,9.1,0.0,16.0,9.8,23.8,81.0,87.0,63,中雨
G3726,娄山关南,2026-08-06,14:34,2026-08-06,14:36,0.0,1003.0,28.4,19.9,8.9,8.9,0.0,15.0,8.3,24.5,73.0,88.0,63,中雨
G3726,重庆西,2026-08-06,15:43,2026-08-06,15:52,2.0,1194.0,33.4,24.8,5.6,5.6,0.0,8.0,12.7,51.8,31.0,78.0,63,中雨
G3726,重庆北,2026-08-06,16:17,2026-08-06,16:22,-1.0,1224.0,33.4,24.8,5.6,5.6,0.0,8.0,12.7,51.8,31.0,78.0,63,中雨
G3726,梁平南,2026-08-06,17:14,2026-08-06,17:19,0.0,1404.0,30.4,21.9,2.5,2.5,0.0,8.0,10.2,20.5,35.0,81.0,61,小雨
G3726,万州北,2026-08-06,17:40,2026-08-06,17:44,,1469.0,32.0,23.9,4.1,4.1,0.0,16.0,12.1,29.2,45.0,82.0,53,毛毛雨
G3726,云阳,2026-08-06,17:57,2026-08-06,17:59,0.0,1507.0,34.2,26.2,0.4,0.4,0.0,2.0,14.5,29.9,11.0,74.0,51,小毛毛雨
G3726,巫山,2026-08-06,18:33,,,0.0,1622.0,33.0,23.5,3.3,3.3,0.0,10.0,12.5,24.8,45.0,84.0,53,毛毛雨
,,,,,,,,,,,,,,,,,,,
G1,北京南,2026-08-06,06:30,2026-08-06,06:30,0.0,0.0,37.5,28.0,1.3,1.3,0.0,3.0,8.1,20.9,37.0,60.0,53,毛毛雨
G1,沧州西,2026-08-06,07:18,2026-08-06,07:20,0.0,210.0,35.5,24.6,0.3,0.3,0.0,3.0,7.0,21.2,9.0,72.0,51,小毛毛雨
G1,德州东,2026-08-06,07:45,2026-08-06,07:47,-1.0,314.0,29.7,19.0,0.1,0.1,0.0,1.0,3.7,17.6,32.0,64.0,51,小毛毛雨
G1,曲阜东,2026-08-06,08:34,2026-08-06,08:36,,527.0,35.3,25.8,0.3,0.3,0.0,2.0,8.0,19.8,27.0,73.0,51,小毛毛雨
G1,南京南,2026-08-06,10:13,2026-08-06,10:15,0.0,1015.0,34.9,27.2,0.3,0.3,0.0,2.0,13.4,33.1,8.0,69.0,51,小毛毛雨
G1,苏州北,2026-08-06,10:59,2026-08-06,11:01,1.0,1229.0,36.9,27.5,1.3,1.3,0.0,3.0,16.9,42.8,18.0,69.0,53,毛毛雨
G1,上海虹桥,2026-08-06,11:24,,,0.0,1310.0,35.9,29.0,2.0,2.0,0.0,9.0,15.1,40.3,21.0,66.0,53,毛毛雨
,,,,,,,,,,,,,,,,,,,
